1.691779179964214563e-04,7.873504364397376776e-05,8.185981750488281250e+00,2.489467263221740723e-01,2.886860351562500000e+02
1.880212512332946062e-04,7.230469782371073961e-05,1.421973228454589844e+01,1.464636474847793579e-01,4.782313842773437500e+02
1.128613657783716917e-04,1.228540349984541535e-04,1.003327560424804688e+01,4.435499906539916992e-01,5.898366088867187500e+02
7.883625949034467340e-05,1.285647740587592125e-03,3.873027563095092773e+00,2.471348524093627930e+00,2.116457977294921875e+02
5.009763408452272415e-04,2.891509939217939973e-05,2.385661506652832031e+01,3.155421698465943336e-03,3.167051391601562500e+02
3.096029831795021892e-05,7.824454951332882047e-05,4.561451435089111328e+00,2.396479249000549316e-01,3.586165771484375000e+02
2.512815408408641815e-04,7.047637336654588580e-05,1.153966426849365234e+01,1.417406797409057617e-01,3.304310302734375000e+02
7.793321128701791167e-05,1.503518433310091496e-04,7.749684333801269531e+00,2.389522939920425415e-01,3.591217651367187500e+02
1.302037126151844859e-04,1.912081279442645609e-05,4.509399414062500000e+00,1.103059574961662292e-01,2.648802795410156250e+02
1.073487364919856191e-04,8.555351087125018239e-05,7.393843650817871094e+00,7.983914017677307129e-02,1.600019378662109375e+02
4.387128137750551105e-05,1.337894354946911335e-04,7.349348068237304688e+00,1.305138826370239258e+00,2.798179931640625000e+02
3.096029831795021892e-05,1.811977999750524759e-04,3.641669273376464844e+00,6.224017739295959473e-01,1.839109649658203125e+02
1.759678707458078861e-04,7.263166480697691441e-05,9.999398231506347656e+00,1.253249496221542358e-01,4.371543579101562500e+02
5.172282690182328224e-04,2.038476122834254056e-05,2.130012702941894531e+01,2.355647273361682892e-02,3.841535644531250000e+02
7.039142656140029430e-04,6.476532144006341696e-05,3.135966300964355469e+01,1.558071654289960861e-02,3.265087890625000000e+02
5.753987352363765240e-05,7.501788786612451077e-05,3.848254919052124023e+00,2.238873690366744995e-01,4.044055786132812500e+02
3.313852648716419935e-04,2.948966539406683296e-05,1.155711460113525391e+01,2.742580324411392212e-02,2.322431030273437500e+02
2.078403194900602102e-04,5.373233580030500889e-05,2.961436986923217773e+00,3.155421698465943336e-03,1.600019378662109375e+02
3.237794589949771762e-05,1.130703822127543390e-04,3.152297496795654297e+00,2.129250466823577881e-01,2.936570129394531250e+02
1.678202243056148291e-04,5.355701432563364506e-05,9.025942802429199219e+00,9.862461686134338379e-02,3.179508666992187500e+02
1.750579394865781069e-04,6.574777216883376241e-05,1.151379585266113281e+01,9.800244122743606567e-02,3.581042175292968750e+02
2.136832627002149820e-04,1.668684308242518455e-05,1.037647533416748047e+01,5.901698768138885498e-02,3.860182495117187500e+02
4.252092039678245783e-04,3.745685899048112333e-05,1.922390365600585938e+01,1.929560676217079163e-02,5.703296508789062500e+02
3.824244486168026924e-04,1.326127239735797048e-04,1.743639945983886719e+01,6.623250991106033325e-02,2.162571105957031250e+02
3.734497004188597202e-04,1.668684308242518455e-05,1.325123405456542969e+01,3.155421698465943336e-03,2.744017639160156250e+02
