182,184,176,168.5,148,93,75,69,68,75,88,89.5,93,93.5,94,94
153,150.5,142.5,131,96,53.5,53,58.5,78.5,86,85.5,91,93.5,96.5,97.5,96
183,173,172,169.5,148.5,101.5,91.5,93,97,93,106,107,105,105,105.5,110
152.5,146,144,116.5,91,46.5,47,58,80.5,83,92,94.5,98,97,94.5,95.5
176.5,173.5,163.5,167.5,137,87,62.5,55,58.5,62,69,76,73.5,81,82,82.5
147.5,143.5,138.5,135,123.5,94,73.5,62,54.5,55.5,63,69,80.5,83.5,85.5,87
167,167.5,162,154.5,140,89,70,62,65.5,72,76,78,79,79,80,79
174.5,171.5,166.5,154.5,141.5,81.5,72,65.5,73,76.5,85.5,86,92,91,93.5,91.5
158.5,156,151.5,144,129.5,82.5,59,59,62.5,77,87.5,88.5,88,88,88,90.5
184,179,172.5,157.5,146,91,72,77,78.5,90,95.5,98.5,99,99,108.5,104
173,168,164.5,161,153,133.5,121,115.5,110.5,104.5,101.5,96.5,99.5,98,95,92.5
140,126,115,109,98,73,56,61.5,73,76,87,90,89.5,92,93,92.5
171,166,156,145,118,71.5,54,49,69,80,85,87,86.5,85.5,85,86.5
153,146,141.5,133,125,94,72,65.5,68.5,74,81.5,88.5,90,90,89.5,95
158,155,152,144,126.5,86,64,55.5,60,68,70,71,75,73,76.5,75
165,163,156,152.5,137,97,72,69,78,80,88,92,94,93,93,92
159.5,153,145.5,129.5,118.5,65,46,58.5,77.5,86,94,97.5,95,97.5,98.5,100
171.5,162,156,125,110,57.5,50.5,59.5,70,83,93,94,95,103,101.5,99
171,169,175,162.5,122,76.5,66.5,54,56,62.5,67,73.5,82,86.5,85.5,88.5
154.5,151,145,141.5,133,90,62,62.5,59,53,71,74,79,78,80,82.5
167,162,157,150,133.5,90.5,67,58.5,71.5,88,91.5,90.5,91,92,91,93
145,137,134,126.5,115,87,62.5,60,61.5,72.5,83.5,84,90,93.5,93.5,92.5
181,175,171,159,150.5,98.5,72,62,63.5,61,71,87,91,91,94.5,94.5
180,180,175.5,171,153.5,76,60,59.5,79.5,82.5,93.5,98.5,100,107,100,105.5
156,141.5,134,125,108,61,48.5,51.5,82,81.5,88,87,89.5,90.5,96.5,98
