JobNumber,Dimension,npara,ntrain,FeatureType,Activation,ValLoss
NaN,2D,NaN,,ftc_twithreciGIF,tanh01,1e-05
NaN,2D,NaN,,ftc_twithreciGIF,tanh01,1e-05
NaN,2D,NaN,,ftc_twithreciGIF,tanh01,3e-05
NaN,2D,NaN,,ftc_twithreciGIF,tanh01,0.00078
NaN,2D,NaN,,ftc_twithreciGIF,tanh01,0.00106
NaN,2D,NaN,,ftd_fullreci,relu,2e-05
NaN,2D,NaN,,ftd_fullreci,relu,5e-05
NaN,2D,NaN,,ftd_fullreci,relu,0.02279
NaN,2D,NaN,,ftd_fullreci,relu,0.00144
NaN,2D,NaN,,ftd_fullreci,tanh01,2e-05
NaN,2D,NaN,,ftd_fullreci,tanh01,5e-05
NaN,2D,NaN,,ftd_fullreci,tanh01,0.00077
NaN,2D,NaN,,ftd_fullreci,tanh01,0.00107
NaN,3D,6,,fta_noFE,relu,0.00154
NaN,3D,6,,fta_noFE,relu,0.00098
NaN,3D,6,,fta_noFE,tanh01,3e-05
NaN,3D,6,,fta_noFE,tanh01,0.00068
NaN,3D,6,,ftb_catonlytGIF,relu,4e-05
NaN,3D,6,,ftb_catonlytGIF,relu,3e-05
NaN,3D,6,,ftb_catonlytGIF,relu,0.00277
NaN,3D,6,,ftb_catonlytGIF,tanh01,0.00012
NaN,3D,6,,ftb_catonlytGIF,tanh01,3e-05
NaN,3D,6,,ftb_catonlytGIF,tanh01,0.00068
NaN,3D,6,,ftc_twithreciGIF,relu,3e-05
NaN,3D,6,,ftc_twithreciGIF,relu,0.00084
NaN,3D,6,,ftc_twithreciGIF,tanh01,0.00011
NaN,3D,6,,ftc_twithreciGIF,tanh01,3e-05
NaN,3D,6,,ftc_twithreciGIF,tanh01,0.00065
NaN,3D,6,,ftd_fullreci,relu,0.00085
NaN,3D,6,,ftd_fullreci,relu,3e-05
NaN,3D,6,,ftd_fullreci,tanh01,0.00063
NaN,3D,6,,ftd_fullreci,tanh01,2e-05
NaN,3D,8,,fta_noFE,relu,7e-05
NaN,3D,8,,fta_noFE,relu,0.00244
NaN,3D,8,,fta_noFE,tanh01,6e-05
NaN,3D,8,,fta_noFE,tanh01,0.00085
NaN,3D,8,,ftb_catonlytGIF,relu,0.00013
NaN,3D,8,,ftb_catonlytGIF,relu,5e-05
NaN,3D,8,,ftb_catonlytGIF,relu,0.00239
NaN,3D,8,,ftb_catonlytGIF,tanh01,0.00013
NaN,3D,8,,ftb_catonlytGIF,tanh01,5e-05
NaN,3D,8,,ftb_catonlytGIF,tanh01,0.0008
NaN,3D,8,,ftc_twithreciGIF,relu,0.00012
NaN,3D,8,,ftc_twithreciGIF,relu,0.00056
NaN,3D,8,,ftc_twithreciGIF,relu,0.00094
NaN,3D,8,,ftc_twithreciGIF,tanh01,0.00012
NaN,3D,8,,ftc_twithreciGIF,tanh01,5e-05
NaN,3D,8,,ftc_twithreciGIF,tanh01,0.00077
NaN,3D,8,,ftd_fullreci,relu,0.00089
NaN,3D,8,,ftd_fullreci,relu,0.00117
NaN,3D,8,,ftd_fullreci,tanh01,0.00074
NaN,3D,8,,ftd_fullreci,tanh01,5e-05
NaN,3D,10,,fta_noFE,relu,0.00164
NaN,3D,10,,fta_noFE,relu,0.00091
NaN,3D,10,,fta_noFE,tanh01,5e-05
NaN,3D,10,,fta_noFE,tanh01,0.00072
NaN,3D,10,,ftb_catonlytGIF,relu,0.00095
NaN,3D,10,,ftb_catonlytGIF,relu,0.00084
NaN,3D,10,,ftb_catonlytGIF,tanh01,0.00011
NaN,3D,10,,ftb_catonlytGIF,tanh01,4e-05
NaN,3D,10,,ftb_catonlytGIF,tanh01,2e-05
NaN,3D,10,,ftb_catonlytGIF,tanh01,0.00066
NaN,3D,10,,ftc_twithreciGIF,relu,0.00094
NaN,3D,10,,ftc_twithreciGIF,relu,0.00344
