JobNumber,Dimension,npara,ntrain,FeatureType,Activation,ValLoss,R2true_SI,R2true_CX,R2true_SG,R2true_X2,R2true_CF,R2true_L2,Mean_R2
25020310,3D,6,500000,ftc_twithreciGIF,relu,3e-05,0.996381132302792,0.989100259804821,0.992550037905149,0.993953694865903,0.929525100363986,0.988851940990184,0.981727027705473
25020311,3D,8,500000,ftc_twithreciGIF,relu,0.00056,0.991522256048585,0.984162428016318,0.990500022453541,2.22044604925031e-16,0.932731117804857,0.941410435939568,0.806721043377145
25020312,3D,10,500000,ftc_twithreciGIF,relu,0.00094,0.994615656767285,0.995248904173492,0.980456013091449,0.985251514520391,0.926638247698053,0,0.813701722708445
25020313,3D,6,500000,ftc_twithreciGIF,tanh01,3e-05,0.994133010928053,0.993154894937287,0.987589473252907,0.956278237415122,0.977691185783854,0.99194903138527,0.983465972283749
25020314,3D,8,500000,ftc_twithreciGIF,tanh01,5e-05,0.990445882129601,0.990812461420966,0.992304346097991,0.996902998441299,0.976514026992031,0.99134019118341,0.98971998437755
25020315,3D,10,500000,ftc_twithreciGIF,tanh01,4e-05,0.994375915268969,0.962377760957135,0.982345490705336,0.998389753355219,0.959905027678784,0.994477145210519,0.981978515529327
25020316,3D,6,500000,ftb_catonlytGIF,relu,3e-05,0.993194115644849,0.933964993635536,0.968277887151454,0.990114825413912,0.799654494780036,0.966434464292112,0.941940130152983
25020317,3D,8,500000,ftb_catonlytGIF,relu,5e-05,0.99359585242679,0.995972938794872,0.990647440680167,0.995325118860957,0.965987513711438,0.99252072757487,0.989008265341516
25020318,3D,10,500000,ftb_catonlytGIF,relu,0.00095,0.994764667099153,0.898708614567445,0.985654112417512,0.99556152907891,0.931548269403626,0,0.801039532094441
25020319,3D,6,500000,ftb_catonlytGIF,tanh01,3e-05,0.997790684749104,0.992762755037167,0.989760138446707,0.98982629216668,0.968580077497935,0.994198444357554,0.988819732042525
25020320,3D,8,500000,ftb_catonlytGIF,tanh01,5e-05,0.996071854201873,0.983085867686787,0.993726818527635,0.995711922780697,0.984898544092034,0.97299338776413,0.987748065842193
25020321,3D,10,500000,ftb_catonlytGIF,tanh01,4e-05,0.994870946261686,0.980811383145837,0.983337657924348,0.983737207981456,0.913660972876059,0.993397684887939,0.974969308846221
25020322,3D,6,500000,fta_noFE,relu,0.00154,0.993027050524928,0.982138193016496,0.984881487505991,0.962841483133392,0.930043549748461,0,0.808821960654878
25020323,3D,8,500000,fta_noFE,relu,7e-05,0.987502948015754,0.971500372154864,0.987238678207395,0.994081170654787,0.90539439159671,0.991358211719621,0.972845962058189
25020324,3D,10,500000,fta_noFE,relu,0.00164,0.982825416155896,0,0.97990971910431,0.989947781556714,0.937935423238528,0.993793654110169,0.81406866569427
25020325,3D,6,500000,fta_noFE,tanh01,3e-05,0.994375377554463,0.99498013130252,0.983480747047395,0.982636807189839,0.954127479251217,0.993945079934217,0.983924270379942
25020326,3D,8,500000,fta_noFE,tanh01,6e-05,0.992631539826347,0.992903318267171,0.988600180641133,0.99515274974945,0.923636841003236,0.965871696898856,0.976466054397699
25020327,3D,10,500000,fta_noFE,tanh01,5e-05,0.992635189031876,0.975567855671275,0.984830033739191,0.996381840788301,0.947331299350414,0.977661982588386,0.979068033528241
250211001,3D,6,500000,ftd_fullreci,relu,3e-05,0.992108877271625,0.996821448796889,0.991786051951703,0.990513835278655,0.958085259284885,0.969307228149125,0.98310378345548
250211002,3D,6,500000,ftd_fullreci,tanh01,2e-05,0.994381688566773,0.997921250262565,0.994521137128586,0.997446657575422,0.990523651453082,0.979971899546315,0.992461047422124
250211003,3D,8,500000,ftd_fullreci,relu,0.00117,0.994682749301638,0.996803905304175,0.989067241366774,0.94912125853739,0.960911239567955,0,0.815097732346322
250211004,3D,8,500000,ftd_fullreci,tanh01,5e-05,0.99455169591265,0.978536344988709,0.987649372484637,0.988928506356088,0.944104398505056,0.975735374149586,0.978250948732788
250211005,3D,10,500000,ftd_fullreci,relu,4e-05,0.995012090539039,0.98400652142272,0.988799775801441,0.996333670677896,0.950424690707727,0.990554010330919,0.98418845991329
250211006,3D,10,500000,ftd_fullreci,tanh01,4e-05,0.994558114425602,0.993235373567148,0.986882247367138,0.991479835233762,0.948794997605385,0.98625663595797,0.983534534026168
