JobNumber,Dimension,npara,ntrain,FeatureType,Activation,ValLoss,R2true_SI,R2true_CX,R2true_SG,R2true_X2,R2true_CF,R2true_L2,Mean_R2
250207033,3D,6,1000,ftc_twithreciGIF,relu,0.00497,0.557957611511219,0.739130558374687,0.646119188195314,0.68160639829736,0.642405305713671,0.54848599546364,0.635950842925982
250207034,3D,6,1000,ftc_twithreciGIF,tanh01,0.00345,0.702337966353048,0.720974078120972,0.788231973783016,0.691964799503496,0.683504232418845,0.621449955211215,0.701410500898432
250207035,3D,6,1000,ftb_catonlytGIF,relu,0.00515,0.466969509398066,0.661017312807153,0.750597661301813,0.669229156800085,0.401459755309035,0.448095222590892,0.566228103034507
250207036,3D,6,1000,ftb_catonlytGIF,tanh01,0.00341,0.648839492186855,0.806638466903392,0.823651506330545,0.666744616737856,0.703581419901752,0.587709575285836,0.706194179557706
250207037,3D,6,1000,fta_noFE,relu,0.0209,0,0.632318531981164,0.666095278263588,0.619105680074985,0.803892531015983,0,0.45356867022262
250207038,3D,6,1000,fta_noFE,tanh01,0.00365,0.525949317388627,0.784574906809571,0.664228260517167,0.746691384834899,0.612313202552994,0.532908361399582,0.64444423891714
250207039,3D,6,1000,ftd_fullreci,relu,0.01643,0,0.780141212225163,0.705278030768947,0.72463879226085,0.490496839541165,0.413698109109669,0.519042163984299
250207040,3D,6,1000,ftd_fullreci,tanh01,0.00339,0.736517028517783,0.795657621210417,0.725414879035419,0.834665621502467,0.642732550232411,0.633329158915424,0.72805280990232
250207041,3D,6,2000,ftc_twithreciGIF,relu,0.00305,0.789338256334474,0.773819173366798,0.880571020668095,0.885018729373158,0.634276771233264,0.44819823835907,0.735203698222477
250207042,3D,6,2000,ftc_twithreciGIF,tanh01,0.00206,0.853752613888112,0.931312473813103,0.886683791263981,0.803545893546707,0.667021704745382,0.67618921279962,0.803084281676151
250207043,3D,6,2000,ftb_catonlytGIF,relu,0.00316,0.643917394478023,0.788190871262401,0.823407770317724,0.723272735337867,0.341576233860825,0.442786352402022,0.627191892943144
250207044,3D,6,2000,ftb_catonlytGIF,tanh01,0.00206,0.815760296502724,0.852175738624939,0.896821188629249,0.968160134458054,0.661113057304496,0.530909079319307,0.787489915806462
250207045,3D,6,2000,fta_noFE,relu,0.01315,0.831841980772512,0.663827440593825,0,0.5539115017562,0.469295075607606,0.71712843997609,0.539334073117705
250207046,3D,6,2000,fta_noFE,tanh01,0.00219,0.836688708932354,0.903334462377765,0.903861258305957,0.92057378493185,0.710182711391844,0.560456274569327,0.805849533418183
250207047,3D,6,2000,ftd_fullreci,relu,0.00294,0.721271324529551,0.88096215323666,0.814835547448562,0.735887972189923,0.553111085495473,0.650050978001682,0.726019843483642
250207048,3D,6,2000,ftd_fullreci,tanh01,0.002,0.860830903783553,0.857818930680755,0.888223091606397,0.961180132563654,0.660529046539962,0.61082559064086,0.80656794930253
250207049,3D,6,4000,ftc_twithreciGIF,relu,0.0021,0.815407896919895,0.828870697224297,0.846346274648647,0.656545443472146,0.842784043852074,0.772468947163263,0.793737217213387
250207050,3D,6,4000,ftc_twithreciGIF,tanh01,0.00147,0.919020273607787,0.90866732088596,0.939591628103813,0.853371921781641,0.78078385964322,0.799769284440672,0.866867381410515
